variable,mean,sd,min,max,n_miss
filing_rate,2.7748400596996836,1.5903444448108535,0.5032907471931862,14.388489208633093,0
filings_observed,3950.7442348008294,10629.13701750842,1,74420,0
renting_hh,126482.23689727444,305647.7541612223,132,1808140,0
coastal,0.2893081761006289,0.45391729084582094,0,1,0
post2008,0.9727463312368972,0.16299264242094133,0,1,0
