group,period,mean_filing_rate,sd_filing_rate,n_obs
Coastal,Post-2008,2.052422902334375,0.8147303220131178,125
Coastal,Pre-2008,2.3808651504246043,0.9068223483604502,13
Inland,Post-2008,3.0563262499393282,1.735127500706101,339
